pitcher_team,num_pitchers,batters_faced,num_hits,singles,doubles,triples,home_runs,strikeouts,walks,intent_walks,hit_by_pitches,wild_pitches
Arizona Diamondbacks,30,628,155,95,36,6,18,124,39,2,11,0
Chicago Cubs,17,234,67,41,16,0,10,46,13,0,6,0
Cincinnati Reds,16,273,61,40,13,1,7,67,26,0,2,0
Colorado Rockies,22,4841,1101,685,237,25,154,1047,418,2,51,1
Houston Astros,16,149,27,16,8,0,3,34,18,0,2,0
Los Angeles Angels,11,130,33,20,8,0,5,31,10,0,3,0
Los Angeles Dodgers,28,556,103,68,17,1,17,136,40,1,3,0
Miami Marlins,18,229,64,37,15,0,12,44,16,0,5,0
Milwaukee Brewers,16,264,58,43,8,0,7,68,23,0,2,0
New York Mets,14,202,32,20,6,2,4,59,17,0,2,0
Oakland Athletics,8,102,27,19,6,1,1,17,6,0,1,0
Philadelphia Phillies,10,113,33,22,3,2,6,25,8,0,0,0
Pittsburgh Pirates,13,207,45,27,12,3,3,48,22,0,3,0
San Diego Padres,21,607,130,77,29,4,20,166,42,0,2,0
San Francisco Giants,20,458,88,68,10,1,9,113,40,0,3,0
Seattle Mariners,14,133,26,13,4,3,6,26,16,0,0,0
St. Louis Cardinals,14,246,43,27,11,0,5,41,27,0,2,0
Texas Rangers,14,149,41,25,11,1,4,25,10,0,1,0
